search_string,unique_name,approximate_match,ott_id,is_synonym,flags,number_matches,corrected_name
lycalopex culpaeus,Lycalopex culpaeus,FALSE,776077,FALSE,,1,Pseudalopex_culpaeus
lycalopex fulvipes,Lycalopex fulvipes,FALSE,996573,FALSE,,1,Pseudalopex_fulvipes
lycalopex griseus,Lycalopex griseus,FALSE,776070,FALSE,,2,Pseudalopex_gymnocercus
lycalopex gymnocercus,Lycalopex gymnocercus,FALSE,839340,FALSE,,1,Pseudalopex_gymnocercus
lycalopex sechurae,Lycalopex sechurae,FALSE,313143,FALSE,,1,Pseudalopex_sechurae
lycalopex vetulus,Lycalopex vetulus,FALSE,313153,FALSE,,1,Pseudalopex_vetulus
manis gigantea,Manis gigantea,FALSE,3613427,FALSE,,1,Smutsia_gigantea
manis temminckii,Manis temminckii,FALSE,263949,FALSE,,1,Smutsia_temminckii
manis tetradactyla,Manis tetradactyla,FALSE,849634,FALSE,,1,Phataginus_tetradactyla
manis tricuspis,Manis tricuspis,FALSE,1079387,FALSE,,1,Phataginus_tricuspis
marmosops dorothea,Marmosops dorothea,FALSE,512837,FALSE,,1,NOTFOUND
micaelamys granti,Micaelamys granti,FALSE,3608713,FALSE,,1,Aethomys_granti
micaelamys namaquensis,Micaelamys namaquensis,FALSE,742036,FALSE,,1,Aethomys_namaquensis
micoureus alstoni,Micoureus alstoni,FALSE,29033,FALSE,,1,Marmosa_alstoni
micoureus constantiae,Micoureus constantiae,FALSE,913354,FALSE,,1,Marmosa_constantiae
micoureus demerarae,Micoureus demerarae,FALSE,606436,FALSE,,1,Marmosa_demerarae
micoureus paraguayanus,Micoureus paraguayanus,FALSE,392321,FALSE,,1,Marmosa_paraguayanus
micoureus phaeus,Micoureus phaeus,FALSE,3606666,FALSE,,1,Marmosa_phaea
micoureus regina,Micoureus regina,FALSE,84822,FALSE,,1,Marmosa_regina
miniopterus africanus,Miniopterus africanus,FALSE,996932,FALSE,,1,NOTFOUND
monodelphis sorex,Monodelphis sorex,FALSE,80082,FALSE,,1,NOTFOUND
monodelphis umbristriata,Monodelphis umbristriata,FALSE,356001,FALSE,,1,Monodelphis_umbristriatus
monodelphis unistriata,Monodelphis unistriata,FALSE,3606709,FALSE,,1,Monodelphis_unistriatus
mormopterus kalinowskii,Mormopterus kalinowskii,FALSE,301610,FALSE,,1,Nyctinomops_kalinowskii
murina silvatica,Murina silvatica,FALSE,3613779,FALSE,,1,Murina_ussuriensis
myodes imaizumii,Myodes imaizumii,FALSE,4940962,FALSE,,1,NOTFOUND
myoictis wallacii,Myoictis wallacii,FALSE,3607133,FALSE,,1,Myoictis_wallacei
myotis abei,Myotis abei,FALSE,3613659,FALSE,,1,Myotis_daubentonii
myotis hosonoi,Myotis hosonoi,FALSE,3613640,FALSE,,1,Myotis_ikonnikovi
myotis oxygnathus,Myotis oxygnathus,FALSE,743482,FALSE,,1,Myotis_blythii
myotis ozensis,Myotis ozensis,FALSE,3613658,FALSE,,1,Myotis_ikonnikovi
myotis ricketti,Myotis ricketti,FALSE,31968,FALSE,,1,Myotis_pilosus
myotis yesoensis,Myotis yesoensis,FALSE,3613654,FALSE,,1,Myotis_ikonnikovi
myotomys sloggetti,Myotomys sloggetti,FALSE,433648,FALSE,,1,Otomys_sloggetti
myotomys unisulcatus,Myotomys unisulcatus,FALSE,647417,FALSE,,1,Otomys_unisulcatus
neodon juldaschi,Neodon juldaschi,FALSE,624833,FALSE,,1,Blanfordimys_juldaschi
neoromicia brunneus,Neoromicia brunneus,FALSE,176321,FALSE,,1,Neoromicia_brunnea
neoromicia nanus,Neoromicia nanus,FALSE,286103,FALSE,,1,Neoromicia_nana
neoromicia somalicus,Neoromicia somalicus,FALSE,826854,FALSE,,1,Neoromicia_somalica
neotragus moschatus,Neotragus moschatus,FALSE,561124,FALSE,,1,Nesotragus_moschatus
ningaui yvonnae,Ningaui yvonnae,FALSE,904312,FALSE,,1,Ningaui_yvonneae
ochotona gaoligongensis,Ochotona gaoligongensis,FALSE,3611327,FALSE,,1,Ochotona_forresti
ochotona himalayana,Ochotona himalayana,FALSE,258383,FALSE,,1,Ochotona_roylei
ochotona huangensis,Ochotona huangensis,FALSE,258381,FALSE,,1,Ochotona_syrinx
ochotona muliensis,Ochotona muliensis,FALSE,899308,FALSE,,1,Ochotona_gloveri
oryzomys chapmani,Oryzomys chapmani,FALSE,3608294,FALSE,,1,Handleyomys_chapmani
otolemur monteiri,Otolemur monteiri,FALSE,679564,FALSE,,1,Otolemur_crassicaudatus
otomys dollmani,Otomys dollmani,FALSE,3608822,FALSE,,1,NOTFOUND
otomys maximus,Otomys maximus,FALSE,647413,FALSE,,1,Otomys_angoniensis
otomys saundersiae,Otomys saundersiae,FALSE,433656,FALSE,,1,Otomys_karoensis
piliocolobus badius,Piliocolobus badius,FALSE,640572,FALSE,,1,Procolobus_badius
piliocolobus foai,Piliocolobus foai,FALSE,1013930,FALSE,,1,NOTFOUND
piliocolobus gordonorum,Piliocolobus gordonorum,FALSE,1013949,FALSE,,1,Procolobus_gordonorum
piliocolobus kirkii,Piliocolobus kirkii,FALSE,1013935,FALSE,,1,Procolobus_kirkii
piliocolobus pennantii,Piliocolobus pennantii,FALSE,437216,FALSE,,1,Procolobus_pennantii
piliocolobus preussi,Piliocolobus preussi,FALSE,437219,FALSE,,1,Procolobus_preussi
piliocolobus rufomitratus,Piliocolobus rufomitratus,FALSE,1013945,FALSE,,1,Procolobus_rufomitratus
piliocolobus tephrosceles,Piliocolobus tephrosceles,FALSE,1013938,FALSE,,1,NOTFOUND
piliocolobus tholloni,Piliocolobus tholloni,FALSE,1013942,FALSE,,1,NOTFOUND
platanista minor,Platanista minor,FALSE,477494,FALSE,,2,Platanista_gangetica
pogonomelomys bruijni,Pogonomelomys bruijni,FALSE,3608689,FALSE,,1,Pogonomelomys_bruijnii
prionailurus iriomotensis,Prionailurus iriomotensis,FALSE,418475,FALSE,,1,Prionailurus_bengalensis
profelis aurata,Profelis aurata,FALSE,660447,FALSE,,1,Caracal_aurata
przewalskium albirostris,Przewalskium albirostris,FALSE,345531,FALSE,,1,Cervus_albirostris
pseudois schaeferi,Pseudois schaeferi,FALSE,317128,FALSE,,1,Pseudois_nayaur
pseudomys laborifex,Pseudomys laborifex,FALSE,976067,FALSE,,1,Pseudomys_johnsoni
pseudopotto martini,Pseudopotto martini,FALSE,4941439,FALSE,,1,Perodicticus_potto
pteropus insularis,Pteropus insularis,FALSE,3613489,FALSE,,1,Pteropus_pelagicus
puma yagouaroundi,Puma yagouaroundi,FALSE,86162,FALSE,,1,Herpailurus_yagouaroundi
pygeretmus shitkovi,Pygeretmus shitkovi,FALSE,3608058,FALSE,,1,Pygeretmus_zhitkovi
rattus arfakiensis,Rattus arfakiensis,FALSE,3608862,FALSE,,1,Rattus_arfakienis
rattus sanila,Rattus sanila,FALSE,3608861,FALSE,,1,NOTFOUND
rhabdomys dilectus,Rhabdomys dilectus,FALSE,224251,FALSE,,1,NOTFOUND
rhinolophus cornutus,Rhinolophus cornutus,FALSE,423033,FALSE,,1,NOTFOUND
rhinolophus imaizumii,Rhinolophus imaizumii,FALSE,3614103,FALSE,,1,NOTFOUND
rhinolophus monoceros,Rhinolophus monoceros,FALSE,71984,FALSE,,1,NOTFOUND
saiga borealis,Saiga borealis,FALSE,3611670,FALSE,,1,NOTFOUND
salpingotus thomasi,Salpingotus thomasi,FALSE,3608055,FALSE,,1,NOTFOUND
scotoecus albigula,Scotoecus albigula,FALSE,3613728,FALSE,,1,NOTFOUND
